id;url;title;price;price_per_sqm;latitude;longitude;address;surface;rooms;heating_type;floor;rent;property_status;property_type;property form;freeFrom;sellerType;additional information;construction_year;building_type;distance_school;has_school_nearby;distance_park;has_park_nearby;distance_transport;has_transport_nearby;distance_supermarket;has_supermarket_nearby;distance_hospital;has_hospital_nearby;distance_restaurant;has_restaurant_nearby;distance_gym;has_gym_nearby;distance_mall;has_mall_nearby;accessibility_score;facility_count;accessibility_label
IDCYT4;https://www.storia.ro/ro/ofărăa/berceni-aparatorii-patriei-apartament-2-cameretva-9-inclus-IDCYT4;Berceni-Aparatorii Patriei-Apartament 2 camere(tva 9% inclus);75000.0;1300.0;44.3733512;26.1299941;Drumul Jilavei, IMGB, Sectorul 4, Bucuresti;57.7;2;centrală pe gaz;1;fără informații;în construcție;locuință nouă;drept de proprietate;fără informații;agenție;"balcon
bucătărie  separată";2025;bloc;526;1;711;1;612;0;650;1;464;1;642;1;493;1;769;1;88;0;Very Good - Highly accessible location
IDDLVo;https://www.storia.ro/ro/ofărăa/garsoniera-mosilor-stefan-cel-mare-et-8-10-an-1984-IDDLVo;Garsoniera Mosilor/Stefan cel Mare et.8/10 an 1984;65000.0;2031.0;44.44992999999999;26.12412;Obor, Sectorul 2, Bucuresti;0;0;;;;;;;;;;1984;;430;1;194;1;122;1;54;1;203;1;827;0;848;1;136;1;100;0;Excellent - Everything you need within walking distance
IDDKV2;https://www.storia.ro/ro/ofărăa/apartament-3-camere-decomandat-74-2mp-bloc-nouăgrand-arena-IDDKV2;Apartament 3 Camere Decomandat 74.2Mp Bloc nouăGrand Arena;111300.0;1500.0;44.3670339;26.1394839;IMGB, Sectorul 4, Bucuresti;0;0;;;;;;;;;;;;307;1;318;1;343;1;443;1;382;1;354;1;446;1;830;1;97;0;Excellent - Everything you need within walking distance
IDDKZR;https://www.storia.ro/ro/ofărăa/apartamen-2-camere-decomandat-3-min-stb-comision-0-IDDKZR;Apartamen 2 camere Decomandat 3 min Stb Comision 0%;80046.0;1510.0;44.3670339;26.1394839;IMGB, Sectorul 4, Bucuresti;0;0;;;;;;;;;;;;307;1;318;1;343;1;443;1;382;1;354;1;446;1;830;1;97;8;Excellent - Everything you need within walking distance
IDDtqp;https://www.storia.ro/ro/ofărăa/vnd-apartament-2-camere-etaj-1-n-rogerius-IDDtqp;VÃ¢nd apartament 2 camere etaj 1 Ã®n Rogerius;76000.0;1462.0;47.061204;21.9346709;Olosig, Oradea, Bihor;0;0;;;;;;;;;;;;346;1;382;1;303;1;269;1;185;1;93;1;266;1;234;1;97;8;Excellent - Everything you need within walking distance
IDDpWW;https://www.storia.ro/ro/ofărăa/proprietar-2-cam-an1983-sect-3-aleea-fizicienilor-nicolae-grigorescu-IDDpWW;Proprietar 2 cam,an1983,sect.3 Aleea Fizicienilor - Nicolae Grigorescu;110000.0;2157.0;44.4126645;26.1538439;Aleea Fizicienilor, Titan, Sectorul 3, Bucuresti;0;0;;;;;;;;;;1983;;472;1;183;1;237;1;270;1;1401;1;528;1;154;1;196;1;97;8;Excellent - Everything you need within walking distance
IDuwpq;https://www.storia.ro/ro/ofărăa/berceni-metrou-berceni-garsoniera-decomandata-promotie-IDuwpq;Berceni-Metrou Berceni-Garsoniera decomandata-Promotie;53500.0;1367.0;44.3660866;26.1536091;Strada Biruintei, IMGB, Sectorul 4, Bucuresti;39.15;1;centrală pe gaz;1;fără informații;în construcție;locuință nouă;drept de proprietate;fără informații;agenție;balcon;2025;bloc;70;1;266;1;644;0;111;1;294;1;104;1;116;1;725;1;88;7;Very Good - Highly accessible location
IDCYT4;https://www.storia.ro/ro/ofărăa/berceni-aparatorii-patriei-apartament-2-cameretva-9-inclus-IDCYT4;Berceni-Aparatorii Patriei-Apartament 2 camere(tva 9% inclus);75000.0;1300.0;44.3733512;26.1299941;Drumul Jilavei, IMGB, Sectorul 4, Bucuresti;0;0;;;;;;;;;;2025;;526;1;711;1;612;0;650;1;464;1;642;1;493;1;769;1;88;7;Very Good - Highly accessible location
IDDIEB;https://www.storia.ro/ro/ofărăa/comision-0-2-camere-59-mp-grdin-65-55-mp-bloc-cu-lift-IDDIEB;Comision 0% | 2 camere, 59 mp + grădină 65.55 mp - Bloc cu lift;110000.0;1863.0;44.5495727;26.1223805;Strada 1 Decembrie, Tunari, Tunari, Ilfov;59.06;2;centrală pe gaz;0;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;bucătărie  separată;2025;;122;1;1250;0;116;1;63;1;1503;0;147;1;1424;0;1046;1;100;5;Excellent - Everything you need within walking distance
IDDDkV;https://www.storia.ro/ro/ofărăa/proiect-nouăapartament-4-camere-bloc-cartier-tomis-plus-constana-IDDDkV;#Proiect nouă Apartament 4 camere, bloc cartier Tomis Plus - ConstanÈ›a;146500.0;1450.0;44.2183607;28.596629;Tomis Plus - Boreal, Constanta, Constanta;101.0;4;fără informații;4;fără informații;fără informații;locuință nouă;drept de proprietate;fără informații;agenție;balcon;2025;bloc;116;1;1227;0;68;1;205;1;125;1;762;1;261;1;877;1;100;7;Excellent - Everything you need within walking distance
IDDM7p;https://www.storia.ro/ro/ofărăa/apartament-2-camere-modern-aparatorii-patriei-mobilat-parcare-IDDM7p;Apartament 2 camere modern, Aparatorii Patriei, mobilat + parcare;117000.0;2543.0;44.3784458;26.1451103;Strada Tanase Orgu, Aparatorii Patriei, Sectorul 4, Bucuresti;46.0;2;fără informații;4;fără informații;gata de utilizare;locuință utilizată;fără informații;fără informații;privat;balcon;;bloc;296;1;170;1;546;0;605;1;525;1;661;1;554;1;136;1;93;7;Excellent - Everything you need within walking distance
IDDM2R;https://www.storia.ro/ro/ofărăa/apartament-decomandat-2-camerenvodari-IDDM2R;Apartament decomandat 2 camereNÄƒvodari;59000.0;1054.0;44.3235481;28.6117855;Navodari, Constanta;56.0;2;fără informații;1;fără informații;fără informații;locuință nouă;fără informații;fără informații;privat;balcon;2015;bloc;127;1;208;1;292;1;134;1;370;1;86;1;297;1;173;1;97;8;Excellent - Everything you need within walking distance
IDCMM0;https://www.storia.ro/ro/ofărăa/penthouse-lux-opera-cotroceni-drept-kogalniceanu-proprietar-300mp-IDCMM0;PENTHOUSE LUX Opera Cotroceni Drept Kogalniceanu Proprietar 300mp;1190000.0;3967.0;44.43484489999999;26.0877552;Piata Mihail Kogalniceanu, Stirbei, Sectorul 1, Bucuresti;300.0;6;centrală pe gaz;6;fără informații;gata de utilizare;locuință nouă;drept de proprietate;fără informații;privat;balcon grădină terasă  garaj bucătărie  separată debara;2024;bloc;380;1;114;1;33;1;141;1;911;1;545;1;885;1;576;1;100;8;Excellent - Everything you need within walking distance
IDCFKe;https://www.storia.ro/ro/ofărăa/apartament-3-camere-cu-parcare-doamna-ghica-plaza-IDCFKe;Apartament 3 camere cu Parcare Doamna Ghica Plaza;159900.0;1964.0;44.4530327;26.1512214;Strada Ziduri Intre Vii, Electronicii, Sectorul 2, Bucuresti;81.4;3;fără informații;7;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;fără informații;agenție;fără informații;2012;clădire de apartamente;508;1;141;1;109;1;489;1;1165;1;618;1;398;1;404;1;100;8;Excellent - Everything you need within walking distance
IDCKWG;https://www.storia.ro/ro/ofărăa/studio-de-vanzare-metrou-aparatorii-patriei-IDCKWG;Studio De Vanzare | Metrou Aparatorii Patriei;80000.0;1677.0;44.37349;26.1394921;Aparatorii Patriei, Sectorul 4, Bucuresti;47.7;2;centrală pe gaz;parter;fără informații;în construcție;locuință nouă;fără informații;fără informații;agenție;balcon scară iinterioară;2025;bloc;434;1;403;1;206;1;315;1;322;1;315;1;324;1;743;1;97;8;Excellent - Everything you need within walking distance
IDDd4q;https://www.storia.ro/ro/ofărăa/apartament-2-camere-bloc-nouăoasului-IDDd4q;Apartament 2 camere bloc nouăOasului;140000.0;2642.0;46.7991558;23.6079041;Iris, Cluj-Napoca, Cluj;53.0;2;centralizatăƒ;2;fără informații;fără informații;locuință nouă;drept de proprietate;fără informații;privat;balcon grădină;2024;bloc;522;1;484;1;47;1;235;1;1062;1;1006;0;194;1;253;1;100;7;Excellent - Everything you need within walking distance
IDDMeY;https://www.storia.ro/ro/ofărăa/tineretului-metrou-liber-posibilitate-centrală-IDDMeY;TINERETULUI METROU - LIBER, POSIBILITATE centrală!;97900.0;1813.0;44.4137521;26.1108024;Tineretului, Sectorul 4, Bucuresti;54.0;2;fără informații;10;fără informații;gata de utilizare;locuință utilizată;drept de proprietate;2025-05-24;privat;fără informații;;bloc;488;1;102;1;338;1;139;1;264;1;336;1;461;1;112;1;97;8;Excellent - Everything you need within walking distance
IDD6Iw;https://www.storia.ro/ro/ofărăa/apartament-3-camere-drumul-cooperativei-bucuresti-IDD6Iw;Apartament 3 camere Drumul Cooperativei, Bucuresti;132000.0;1592.0;44.4068092;26.0242288;Drumul Cooperativei, Ghencea, Sectorul 5, Bucuresti;82.9;3;centrală pe gaz;5;fără informații;în construcție;locuință nouă;fără informații;fără informații;dezvoltator;balcon bucătărie  separată;2025;bloc;719;1;572;1;376;1;800;1;702;1;787;1;1083;0;1166;1;97;7;Excellent - Everything you need within walking distance
