price,price_per_sqm,latitude,longitude,surface,rooms,heating_type,floor,rent,property_status,property_type,property form,freeFrom,sellerType,construction_year,building_type,distance_school,has_school_nearby,distance_park,has_park_nearby,distance_transport,has_transport_nearby,distance_supermarket,has_supermarket_nearby,distance_hospital,has_hospital_nearby,distance_restaurant,has_restaurant_nearby,distance_gym,has_gym_nearby,distance_mall,has_mall_nearby,accessibility_score,facility_count,accessibility_label,avg_room_size,year_built_category,city,Județ,county_sales_april_2025_log
75000.0,1300.0,44.3733512,26.1299941,57.7,2.0,centrală pe gaz,1.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,526.0,1,711.0,1,612.0,0,650.0,1,464.0,1,642.0,1,493.0,1,769.0,1,88.0,0.0,Very Good - Highly accessible location,28.85,post-2019,Bucuresti,bucuresti,8.921457578947884
65000.0,2031.0,44.44992999999999,26.12412,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1984.0,bloc,430.0,1,194.0,1,122.0,1,54.0,1,203.0,1,827.0,0,848.0,1,136.0,1,100.0,0.0,Excellent - Everything you need within walking distance,29.0,1980-1999,Bucuresti,bucuresti,8.921457578947884
111300.0,1500.0,44.3670339,26.1394839,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,307.0,1,318.0,1,343.0,1,443.0,1,382.0,1,354.0,1,446.0,1,830.0,1,97.0,0.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Bucuresti,bucuresti,8.921457578947884
80046.0,1510.0,44.3670339,26.1394839,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,307.0,1,318.0,1,343.0,1,443.0,1,382.0,1,354.0,1,446.0,1,830.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Bucuresti,bucuresti,8.921457578947884
76000.0,1462.0,47.061204,21.9346709,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2019.0,bloc,346.0,1,382.0,1,303.0,1,269.0,1,185.0,1,93.0,1,266.0,1,234.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,2010-2019,Olosig,bihor,7.344719054149673
110000.0,2157.0,44.4126645,26.1538439,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,1983.0,bloc,472.0,1,183.0,1,237.0,1,270.0,1,1401.0,1,528.0,1,154.0,1,196.0,1,97.0,8.0,Excellent - Everything you need within walking distance,29.0,1980-1999,Bucuresti,bucuresti,8.921457578947884
53500.0,1367.0,44.3660866,26.1536091,39.15,1.0,centrală pe gaz,1.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,70.0,1,266.0,1,644.0,0,111.0,1,294.0,1,104.0,1,116.0,1,725.0,1,88.0,7.0,Very Good - Highly accessible location,39.15,post-2019,Bucuresti,bucuresti,8.921457578947884
75000.0,1300.0,44.3733512,26.1299941,2.6000000000000156,1.0,centrală pe gaz,2.0,450,gata de utilizare,locuință utilizată,drept de proprietate,2025-05-21,agenție,2025.0,bloc,526.0,1,711.0,1,612.0,0,650.0,1,464.0,1,642.0,1,493.0,1,769.0,1,88.0,7.0,Very Good - Highly accessible location,29.0,post-2019,Bucuresti,bucuresti,8.921457578947884
110000.0,1863.0,44.5495727,26.1223805,59.06,2.0,centrală pe gaz,0.0,450,în construcție,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,122.0,1,1250.0,0,116.0,1,63.0,1,1503.0,0,147.0,1,1424.0,0,1046.0,1,100.0,5.0,Excellent - Everything you need within walking distance,29.53,post-2019,1 Decembrie,vaslui,6.508769136971682
146500.0,1450.0,44.2183607,28.596629,101.0,3.0,centrală pe gaz,4.0,450,gata de utilizare,locuință nouă,drept de proprietate,2025-05-21,agenție,2025.0,bloc,116.0,1,1227.0,0,68.0,1,205.0,1,125.0,1,762.0,1,261.0,1,877.0,1,100.0,7.0,Excellent - Everything you need within walking distance,25.25,post-2019,Constanta,constanta,7.741533589281828
