An,Luna,Județ,Valoare_vanzari
2024,10,ALBA,490.0
2024,11,ALBA,395.0
2024,12,ALBA,319.0
2025,1,ALBA,133.0
2025,2,ALBA,320.0
2025,3,ALBA,322.0
2025,4,ALBA,286.0
2024,10,ARAD,1274.0
2024,11,ARAD,1249.0
2024,12,ARAD,1212.0
2025,1,ARAD,405.0
2025,2,ARAD,1068.0
2025,3,ARAD,1473.0
2025,4,ARAD,1270.0
2024,10,ARGEȘ,899.0
2024,11,ARGEȘ,765.0
2024,12,ARGEȘ,617.0
2025,1,ARGEȘ,318.0
2025,2,ARGEȘ,613.0
2025,3,ARGEȘ,789.0
2025,4,ARGEȘ,720.0
2024,10,BACAU,1295.0
2024,11,BACAU,976.0
2024,12,BACAU,923.0
2025,1,BACAU,648.0
2025,2,BACAU,1094.0
2025,3,BACAU,896.0
2025,4,BACAU,899.0
2024,10,BIHOR,1643.0
2024,11,BIHOR,1601.0
2024,12,BIHOR,1334.0
2025,1,BIHOR,779.0
2025,2,BIHOR,1397.0
2025,3,BIHOR,1748.0
2025,4,BIHOR,1547.0
2024,10,BISTRIȚA NĂSĂUD,651.0
2024,11,BISTRIȚA NĂSĂUD,548.0
2024,12,BISTRIȚA NĂSĂUD,665.0
2025,1,BISTRIȚA NĂSĂUD,434.0
2025,2,BISTRIȚA NĂSĂUD,550.0
2025,3,BISTRIȚA NĂSĂUD,621.0
2025,4,BISTRIȚA NĂSĂUD,562.0
2024,10,BOTOȘANI,1081.0
2024,11,BOTOȘANI,819.0
2024,12,BOTOȘANI,781.0
2025,1,BOTOȘANI,771.0
2025,2,BOTOȘANI,808.0
2025,3,BOTOȘANI,901.0
2025,4,BOTOȘANI,940.0
2024,10,BRAȘOV,3139.0
2024,11,BRAȘOV,3355.0
2024,12,BRAȘOV,3207.0
2025,1,BRAȘOV,1478.0
2025,2,BRAȘOV,2446.0
2025,3,BRAȘOV,2409.0
2025,4,BRAȘOV,2209.0
2024,10,BRĂILA,758.0
2024,11,BRĂILA,636.0
2024,12,BRĂILA,568.0
2025,1,BRĂILA,339.0
2025,2,BRĂILA,725.0
2025,3,BRĂILA,669.0
2025,4,BRĂILA,1055.0
2024,10,BUCUREȘTI,11629.0
2024,11,BUCUREȘTI,10752.0
2024,12,BUCUREȘTI,13257.0
2025,1,BUCUREȘTI,5689.0
2025,2,BUCUREȘTI,9945.0
2025,3,BUCUREȘTI,9643.0
2025,4,BUCUREȘTI,7490.0
2024,10,BUZĂU,1466.0
2024,11,BUZĂU,1200.0
2024,12,BUZĂU,1033.0
2025,1,BUZĂU,630.0
2025,2,BUZĂU,1043.0
2025,3,BUZĂU,1158.0
2025,4,BUZĂU,1242.0
2024,10,CARAȘ SEVERIN,652.0
2024,11,CARAȘ SEVERIN,527.0
2024,12,CARAȘ SEVERIN,401.0
2025,1,CARAȘ SEVERIN,380.0
2025,2,CARAȘ SEVERIN,444.0
2025,3,CARAȘ SEVERIN,533.0
2025,4,CARAȘ SEVERIN,585.0
2024,10,CLUJ,3163.0
2024,11,CLUJ,2942.0
2024,12,CLUJ,2910.0
2025,1,CLUJ,1208.0
2025,2,CLUJ,2826.0
2025,3,CLUJ,3161.0
2025,4,CLUJ,2647.0
2024,10,CONSTANȚA,3614.0
2024,11,CONSTANȚA,3275.0
2024,12,CONSTANȚA,2934.0
2025,1,CONSTANȚA,1508.0
2025,2,CONSTANȚA,2908.0
2025,3,CONSTANȚA,2650.0
2025,4,CONSTANȚA,2301.0
2024,10,COVASNA,322.0
2024,11,COVASNA,398.0
2024,12,COVASNA,328.0
2025,1,COVASNA,185.0
2025,2,COVASNA,360.0
2025,3,COVASNA,379.0
2025,4,COVASNA,308.0
2024,10,CĂLĂRAȘI,576.0
2024,11,CĂLĂRAȘI,481.0
2024,12,CĂLĂRAȘI,402.0
2025,1,CĂLĂRAȘI,178.0
2025,2,CĂLĂRAȘI,458.0
2025,3,CĂLĂRAȘI,603.0
2025,4,CĂLĂRAȘI,342.0
2024,10,DAMBOVIȚA,1499.0
2024,11,DAMBOVIȚA,1271.0
2024,12,DAMBOVIȚA,1091.0
2025,1,DAMBOVIȚA,682.0
2025,2,DAMBOVIȚA,1227.0
2025,3,DAMBOVIȚA,1075.0
2025,4,DAMBOVIȚA,1096.0
2024,10,DOLJ,2345.0
2024,11,DOLJ,1486.0
2024,12,DOLJ,1420.0
2025,1,DOLJ,961.0
2025,2,DOLJ,1449.0
2025,3,DOLJ,2055.0
2025,4,DOLJ,1551.0
2024,10,GALAȚI,1222.0
2024,11,GALAȚI,1081.0
2024,12,GALAȚI,1281.0
2025,1,GALAȚI,766.0
2025,2,GALAȚI,952.0
2025,3,GALAȚI,922.0
2025,4,GALAȚI,1110.0
2024,10,GIURGIU,410.0
2024,11,GIURGIU,314.0
2024,12,GIURGIU,397.0
2025,1,GIURGIU,107.0
2025,2,GIURGIU,268.0
2025,3,GIURGIU,391.0
2025,4,GIURGIU,310.0
2024,10,GORJ,733.0
2024,11,GORJ,573.0
2024,12,GORJ,467.0
2025,1,GORJ,320.0
2025,2,GORJ,520.0
2025,3,GORJ,466.0
2025,4,GORJ,534.0
2024,10,HARGHITA,778.0
2024,11,HARGHITA,713.0
2024,12,HARGHITA,706.0
2025,1,HARGHITA,356.0
2025,2,HARGHITA,694.0
2025,3,HARGHITA,864.0
2025,4,HARGHITA,741.0
2024,10,HUNEDOARA,813.0
2024,11,HUNEDOARA,677.0
2024,12,HUNEDOARA,494.0
2025,1,HUNEDOARA,336.0
2025,2,HUNEDOARA,634.0
2025,3,HUNEDOARA,725.0
2025,4,HUNEDOARA,681.0
2024,10,IALOMIȚA,773.0
2024,11,IALOMIȚA,307.0
2024,12,IALOMIȚA,121.0
2025,1,IALOMIȚA,37.0
2025,2,IALOMIȚA,155.0
2025,3,IALOMIȚA,206.0
2025,4,IALOMIȚA,291.0
2024,10,IASI,3117.0
2024,11,IASI,2392.0
2024,12,IASI,1791.0
2025,1,IASI,1215.0
2025,2,IASI,1843.0
2025,3,IASI,2301.0
2025,4,IASI,2442.0
2024,10,ILFOV,5649.0
2024,11,ILFOV,4510.0
2024,12,ILFOV,3890.0
2025,1,ILFOV,2217.0
2025,2,ILFOV,3616.0
2025,3,ILFOV,4382.0
2025,4,ILFOV,3845.0
2024,10,MARAMUREȘ,1009.0
2024,11,MARAMUREȘ,771.0
2024,12,MARAMUREȘ,608.0
2025,1,MARAMUREȘ,363.0
2025,2,MARAMUREȘ,603.0
2025,3,MARAMUREȘ,534.0
2025,4,MARAMUREȘ,478.0
2024,10,MEHEDINȚI,813.0
2024,11,MEHEDINȚI,709.0
2024,12,MEHEDINȚI,809.0
2025,1,MEHEDINȚI,409.0
2025,2,MEHEDINȚI,567.0
2025,3,MEHEDINȚI,666.0
2025,4,MEHEDINȚI,629.0
2024,10,MUREȘ,1535.0
2024,11,MUREȘ,1218.0
2024,12,MUREȘ,1365.0
2025,1,MUREȘ,423.0
2025,2,MUREȘ,1094.0
2025,3,MUREȘ,1064.0
2025,4,MUREȘ,876.0
2024,10,NEAMȚ,1063.0
2024,11,NEAMȚ,1032.0
2024,12,NEAMȚ,898.0
2025,1,NEAMȚ,631.0
2025,2,NEAMȚ,1157.0
2025,3,NEAMȚ,821.0
2025,4,NEAMȚ,829.0
2024,10,OLT,579.0
2024,11,OLT,594.0
2024,12,OLT,417.0
2025,1,OLT,164.0
2025,2,OLT,728.0
2025,3,OLT,669.0
2025,4,OLT,434.0
2024,10,PRAHOVA,2026.0
2024,11,PRAHOVA,1639.0
2024,12,PRAHOVA,1110.0
2025,1,PRAHOVA,816.0
2025,2,PRAHOVA,1342.0
2025,3,PRAHOVA,1635.0
2025,4,PRAHOVA,1187.0
2024,10,SATU MARE,919.0
2024,11,SATU MARE,1012.0
2024,12,SATU MARE,1131.0
2025,1,SATU MARE,506.0
2025,2,SATU MARE,895.0
2025,3,SATU MARE,803.0
2025,4,SATU MARE,824.0
2024,10,SIBIU,944.0
2024,11,SIBIU,772.0
2024,12,SIBIU,734.0
2025,1,SIBIU,358.0
2025,2,SIBIU,697.0
2025,3,SIBIU,645.0
2025,4,SIBIU,627.0
2024,10,SUCEAVA,1861.0
2024,11,SUCEAVA,1628.0
2024,12,SUCEAVA,1885.0
2025,1,SUCEAVA,1850.0
2025,2,SUCEAVA,1535.0
2025,3,SUCEAVA,1640.0
2025,4,SUCEAVA,1558.0
2024,10,SĂLAJ,452.0
2024,11,SĂLAJ,465.0
2024,12,SĂLAJ,525.0
2025,1,SĂLAJ,170.0
2025,2,SĂLAJ,387.0
2025,3,SĂLAJ,410.0
2025,4,SĂLAJ,376.0
2024,10,TELEORMAN,52.0
2024,11,TELEORMAN,50.0
2024,12,TELEORMAN,78.0
2025,1,TELEORMAN,48.0
2025,2,TELEORMAN,57.0
2025,3,TELEORMAN,51.0
2025,4,TELEORMAN,102.0
2024,10,TIMIȘ,3110.0
2024,11,TIMIȘ,2448.0
2024,12,TIMIȘ,3296.0
2025,1,TIMIȘ,1375.0
2025,2,TIMIȘ,2162.0
2025,3,TIMIȘ,2806.0
2025,4,TIMIȘ,2677.0
2024,10,TULCEA,586.0
2024,11,TULCEA,504.0
2024,12,TULCEA,393.0
2025,1,TULCEA,299.0
2025,2,TULCEA,479.0
2025,3,TULCEA,595.0
2025,4,TULCEA,404.0
2024,10,VASLUI,1295.0
2024,11,VASLUI,611.0
2024,12,VASLUI,485.0
2025,1,VASLUI,430.0
2025,2,VASLUI,648.0
2025,3,VASLUI,1051.0
2025,4,VASLUI,670.0
2024,10,VRANCEA,887.0
2024,11,VRANCEA,927.0
2024,12,VRANCEA,615.0
2025,1,VRANCEA,507.0
2025,2,VRANCEA,697.0
2025,3,VRANCEA,853.0
2025,4,VRANCEA,713.0
2024,10,VÂLCEA,876.0
2024,11,VÂLCEA,792.0
2024,12,VÂLCEA,693.0
2025,1,VÂLCEA,405.0
2025,2,VÂLCEA,567.0
2025,3,VÂLCEA,651.0
2025,4,VÂLCEA,523.0
